sample_index,text,status,failure_case,error,speaker_similarity,mcd,stoi,log_f0_rmse,pesq,lsd,wer,ref_dur_sec,gen_dur_sec,dur_ratio,latency_sec,preprocessing_sec,synthesis_sec,asr_sec,metric_sec,backend_runtime_sec,total_wall_sec,peak_cpu_mem_mb,peak_gpu_mem_mb,output_samples,clipped,backend_load_sec
0,"Și pe bună dreptate, mai exista oare vreo femeie de vârsta ei incapabilă să spună numele și prenumele?",ok,,,0.538982832431793,7.34402811967795,0.198351091842116,0.330638785138304,0.23246143758297,1.6093099,0.222222222222222,6.272,6.272,1,5.18798736901954,0.0028400260489434,5.18489444802981,13.9497054780368,20.2273342679255,25.4276042740094,25.42760546098,14600.32421875,5701.99755859375,100352,False,7.71749764680862E-05
1,"François voia să se facă acceptat de ceilalți, semănându-le, și suferea totuși că nu era unde a ajuns el însuși.",ok,,,0.556513755321503,7.32467179575434,0.162631503378459,0.572824829618725,0.309147119522095,1.8794488,0.1,6.72,7.648,1.13809523809524,11.2472381260013,0.00239122600760311,11.2443779160967,21.0466805119067,31.9927073100116,43.2570485169999,43.2570508919889,14627.85546875,5712.27392578125,122368,False,7.71749764680862E-05
2,"Afară, deși era începutul lunii iulie, peluzele se îngălbeneau, copacii își pierdeau frunzele uscate.",ok,,,0.383316476345062,6.68636705269675,0.247909857828651,0.379487451578195,0.903074681758881,2.026836,0.142857142857143,6.688,6.112,0.913875598086125,6.7308301749872,0.00382904801517725,6.72658557107206,22.0941774699604,31.7891004970297,38.5625571779674,38.5625595529564,14642.15625,5711.0244140625,97792,False,7.71749764680862E-05
3,"Trimis neîndoielnic de către Samuel, doctorul Feldheim, fostul meu psihiatru, a venit în vizită.",ok,,,0.589639987945557,7.57800493443452,0.237511388223088,0.426640600270237,0.918522953987122,1.8777606,0.142857142857143,6.656,6.816,1.02403846153846,7.41163373994641,0.00284952402580529,7.40846839395817,20.9502193690278,30.4478555900278,37.8647229570197,37.8647253309609,14642.7734375,5707.65771484375,109056,False,7.71749764680862E-05
4,"Desigur, ar fi putut să contacteze poliția, căci dacă se înșelase, nu escrocase totuși pe nimeni.",ok,,,0.443763960599899,8.01410109743626,0.194486872950434,0.492293466265128,1.72004175186157,1.9478604,0.125,6.656,5.344,0.802884615384615,6.31213296600618,0.00311429204884917,6.30864942306653,20.2632727039745,28.3647346911021,34.6842265530722,34.6842277400428,14658.33984375,5700.93359375,85504,False,7.71749764680862E-05
5,"Da, confirmă intriganta, așezându-se cu eleganță picior peste picior ca și cum nu s-ar fi întâmplat nimic.",ok,,,0.42207649230957,7.64525899865945,0.155562735712073,0.364885842075149,0.302533149719238,1.8543255,0,5.952,6.4,1.0752688172043,7.32631305011455,0.00259781593922526,7.32350389403291,20.6744697280228,30.4403981480282,37.8178150389576,37.817817414063,14667.38671875,5695.00341796875,102400,False,7.71749764680862E-05
6,"Aveam să-i arăt că puteam trece peste conveniențele burgheze, la fel ca el, din dragoste.",ok,,,0.558631448745728,6.45892867224007,0.28700158697054,0.332721407637035,0.817968130111694,1.7983662,0.133333333333333,6.176,5.568,0.901554404145078,6.02756642200984,0.00284596206620336,6.02434883394744,19.6459256670205,28.3645019800169,34.4294090410695,34.4294114160584,14675.2734375,5697.8828125,89088,False,7.71749764680862E-05
7,"Dar lumina alba a reflectoarelor lor bea, împiedicându-l să scruteze publicul apărat de pe-n umbră.",ok,,,0.369448461532593,7.6174814408639,0.261614134339458,0.260202777063031,1.53971898555756,1.6121196,0.2,6.176,5.792,0.937823834196891,6.95071133307647,0.00337787298485637,6.94699626602233,20.7060293959221,29.8730305780191,36.8274985330645,36.8275009080535,14697.2421875,5705.79638671875,92672,False,7.71749764680862E-05
8,"Am să-i închid ușor culoarea la rădăcină, apoi am să-l filesc pe partea dreaptă și am să-i dau volum pe stânga.",ok,,,0.371336529254913,7.09209273323641,0.255969689505299,0.315890147550818,0.56888735294342,1.5084879,0,6.24,6.176,0.98974358974359,7.39905665302649,0.00286852091085166,7.39585924998391,21.9943075840129,33.0290495679947,40.4606952789472,40.4606976530049,14712.59375,5698.2265625,98816,False,7.71749764680862E-05
9,"Spera că intrusa i-a auzit cuvintele și s-a speriat, în ciuda distanței, a ușii și a paltoanelor din dulap.",ok,,,0.390493590831757,6.85264060812334,0.137470997668609,0.301398549653343,0.637898445129395,1.7810858,0.210526315789474,6.08,5.952,0.978947368421053,6.6215817919001,0.00262156303506345,6.61866815399844,22.6596762270201,31.0156339670066,37.6824946990237,37.6824970729649,14714.11328125,5696.7080078125,95232,False,7.71749764680862E-05
