sample_index,text,status,failure_case,error,speaker_similarity,mcd,stoi,log_f0_rmse,pesq,lsd,wer,ref_dur_sec,gen_dur_sec,dur_ratio,latency_sec,preprocessing_sec,synthesis_sec,asr_sec,metric_sec,backend_runtime_sec,total_wall_sec,peak_cpu_mem_mb,peak_gpu_mem_mb,output_samples,clipped,backend_load_sec
0,"Ca să-și facă un pic de curaj, își aduse aminte că e actor, că e posesorul unui fizic plăcut.",ok,,,0.7588855028152466,6.752491407107196,0.1809604906508549,0.4851683329258251,0.6801308393478394,2.0336583,0.0,5.344,5.1306875,0.960083738772455,4.219518402125686,0.0021775118075311184,4.216997761046514,15.371147867990658,18.937550580129027,24.339239201974124,24.339241576148197,7649.15625,849.5966796875,82091,False,6.292690522968769e-05
1,Va ține piept cu înverșunare cât va putea de mult spre a evita să-și rea locul în ferma familiei.,ok,,,0.8576017022132874,5.9469646571328765,0.23250181986785776,0.2755069025998296,1.0592902898788452,1.6462344,0.0,5.568,4.768,0.8563218390804598,3.257828928064555,0.013906864915043116,3.2433889640960842,11.941638669930398,16.2146568892058,19.500417090021074,19.50041946512647,9433.9140625,858.52490234375,76288,False,6.292690522968769e-05
2,"Fără un plan în cap, fără o strategie prestabilită, trebuia să-mi coroborez ipoteza.",ok,,,0.8399863243103027,5.577594584100682,0.19406156927866308,0.3210366989744559,1.3712753057479858,1.6177506,0.0,5.216,4.48,0.8588957055214724,3.135067865019664,0.0036188948433846235,3.1148421799298376,12.16804405208677,17.346369158942252,20.4880823509302,20.488083539064974,9432.40625,855.677734375,71680,False,6.292690522968769e-05
3,Nici nu terminase bine că Rudi ieși valvârteș din camera lui unde flirta cu noul lui iubit.,ok,,,0.8196815252304077,6.416725045087441,0.1869661272353307,0.21035006296377554,0.805946946144104,1.5560094,0.17647058823529413,4.864,4.2026875,0.8640393708881579,3.0203602688852698,0.0017678921576589346,3.0182801159098744,12.571428628871217,18.77870148117654,21.806110760197043,21.80611313506961,9333.46875,852.099609375,67243,False,6.292690522968769e-05
4,"Rămân pe fir cu dumneavoastră, astfel persoana aceea nu va putea să facă nici o mișcare fără știrea dumneavoastră.",ok,,,0.8414811491966248,5.52767821624715,0.22693276828038925,0.24044439093279527,0.99528968334198,1.6000649,0.2631578947368421,5.504,5.024,0.9127906976744187,3.3910762388259172,0.0018106349743902683,3.3889996488578618,14.001532384892926,22.817929300945252,26.25167953991331,26.251680726883933,9334.734375,858.11083984375,80384,False,6.292690522968769e-05
5,Își terse o lacrimă și declară cu mare tristețe ca și cum își ar fi trădat soțul defunct.,ok,,,0.894291877746582,5.892447152854713,0.19839761352284882,0.36163669397731607,0.25723668932914734,1.7676041,0.0,5.216,4.5546875,0.8732146280674846,3.4855142200831324,0.002380539895966649,3.482800048077479,13.13677897490561,20.995254911016673,24.526549110887572,24.526551485992968,9336.86328125,855.4609375,72875,False,6.292690522968769e-05
6,"Îmi dădea podoabe de doi bani, cum făceau conchistadori spanioli cu indienii din America.",ok,,,0.8460333347320557,5.740718782974599,0.14396208421947584,0.23011999546920728,0.9113902449607849,1.9952742,0.14285714285714285,5.024,4.8,0.9554140127388535,3.7462254979182035,0.002447029110044241,3.743436526041478,14.092406085925177,23.62754560704343,27.379173327004537,27.379175701877102,9342.76953125,853.4287109375,76800,False,6.292690522968769e-05
7,Un clipit aprobator din cene îmi arătă că era măgulit să colaboreze cu un ziar de prestigiu.,ok,,,0.8548195958137512,6.438328381598128,0.19601500027065427,0.370844718078739,0.8372008204460144,1.6546984,0.0,5.152,4.736,0.9192546583850931,3.551873701158911,0.002159701893106103,3.549482475966215,14.432261710055172,23.676621538121253,27.265814506914467,27.26581569411792,9342.74609375,855.39697265625,75776,False,6.292690522968769e-05
8,"Nu vreau să fii reprezentativ pentru tinerii de astăzi, ci să te reprezinți pe dumneata însuți.",ok,,,0.8593995571136475,5.8322507533221755,0.22750250049982063,0.5799406865511691,0.8716015815734863,1.7868694,0.0,4.96,4.6826875,0.9440902217741935,3.124158936087042,0.0021763239055871964,3.121685785939917,14.164944285992533,21.946994797093794,25.081841822946444,25.08184419805184,9344.1015625,852.9072265625,74923,False,6.292690522968769e-05
9,În fiecare noapte îmi venea să înghit niște somnifere ca să termin o dată cu toate.,ok,,,0.8536874055862427,5.780955844289387,0.18609978496031013,0.3472645689502716,1.7305201292037964,1.9503226,0.125,4.896,4.0,0.8169934640522876,3.007786743110046,0.0022914931178092957,3.005213860189542,13.540980415884405,22.675505334045738,25.70785022713244,25.707852601073682,9344.953125,852.57421875,64000,False,6.292690522968769e-05
10,"Din punct de vedere moral, era încrezător, naiv la limita ingenuității.",ok,,,0.8634817600250244,6.247829089080917,0.05421329530379011,0.3251939834165349,0.7186412215232849,1.8263234,0.0,5.312,4.48,0.8433734939759037,3.445546081988141,0.00185812683776021,3.443411312997341,15.068401359021664,23.802920760121197,27.29935578093864,27.299358156044036,9345.31640625,856.05322265625,71680,False,6.292690522968769e-05
11,"Când cineva are norocul să aibă de-a face cu asemenea comori, atunci se ocupă de ele.",ok,,,0.907019317150116,6.375816948945718,0.17360715269900692,0.23430388185350576,0.8601189255714417,1.8388785,0.125,5.632,4.64,0.8238636363636364,3.240779275074601,0.0026049399748444557,3.237849014112726,20.204545198008418,27.975443383911625,31.250445443904027,31.250447819009423,9345.51953125,860.66455078125,74240,False,6.292690522968769e-05
