sample_index,text,status,failure_case,error,speaker_similarity,mcd,stoi,log_f0_rmse,pesq,lsd,wer,ref_dur_sec,gen_dur_sec,dur_ratio,latency_sec,preprocessing_sec,synthesis_sec,asr_sec,metric_sec,backend_runtime_sec,total_wall_sec,peak_cpu_mem_mb,peak_gpu_mem_mb,output_samples,clipped,backend_load_sec
0,"Du-te repede să cauți niște martori pe coridor, așa am să mor cu cugetul în păcat."" În fața medicului și a infirmierei, Eme semnă documentele necesare.",ok,,,0.583941903114319,7.11919732398845,0.118412394972773,0.320611436280457,0.69231128692627,2.1408176,0.0769230769230769,9.472,9.504,1.00337837837838,6.63605025096331,0.00976555596571416,6.62599855393637,18.117761473055,25.6975634449627,32.3542098189937,32.3542121939827,16650.70703125,5787.2822265625,152064,True,7.71749764680862E-05
1,"Personajul îl ridică ușor din sprânceană și privirea lui exprimă un dispreț regal. Lucrurile demarează foarte prost, doamnă.",ok,,,0.632213506698608,6.57545105005934,0.156841269397275,0.343986431233634,1.09871983528137,1.7346256,0.277777777777778,9.408,10.144,1.07823129251701,8.45188934600446,0.0073375249048695,8.44424905895721,16.4460584359476,28.6231497270055,37.0953502429184,37.0953526180238,16626.265625,5782.34814453125,162304,False,7.71749764680862E-05
2,"Ca să nu asiste la un spectacol pe care nervii ei n-aveau să-l poată suporta, preferă să se refugieze în salon, de unde auzea vag aminințările și somațiile.",ok,,,0.565765714645386,6.3454802655143,0.222610932229085,0.331257826659239,0.964570045471191,1.7992505,0.107142857142857,9.12,9.088,0.996491228070175,10.0086758229882,0.00641499098856002,10.0019307610346,22.0622711098986,34.3781935940497,44.4275333130499,44.4275356880389,16638.92578125,5778.57470703125,145408,False,7.71749764680862E-05
3,"Prin cărțile dumneavoastră arătați că în orice viață, chiar și în cea mai nefericită, există ceva care te face să te bucuri, să râzi, să iubești.",ok,,,0.675052192211151,7.5962120970761,0.181215962619939,0.537733546459896,0.53481251001358,1.9376723,0.0669230769230769,9.152,9.632,1.05244755244755,9.93334983801469,0.00710481393616647,9.92587814806029,24.6175795360468,39.923918537912,49.8750458449358,49.8750470319064,16668.94921875,5777.37939453125,154112,False,7.71749764680862E-05
4,"Descumpănit, simțind că lucrurile luau o întorsătură neconvenabilă pentru reputația lui Odet dacă dezmințea, Baltazar se-ntoarse în apartament săcâit de noi întrebări.",ok,,,0.476570675373077,8.0956067017592,0.1679404607036,0.407939157027598,0.698026239871979,1.8436283,0.363636363636364,9.408,10.336,1.09863945578231,10.3832410259638,0.0062309600180015,10.3767488599988,22.1816804209957,37.8907545470865,48.2912565650186,48.2912589400075,16660.0703125,5777.09326171875,165376,False,7.71749764680862E-05
5,"Ia dorința ta de a trezi interesul oamenilor drept marketing. În plus, se discreditează tratând publicul drept o turmă inferioară și nedemnă.",ok,,,0.282526791095734,8.29999351461265,0.149670730329411,0.430984995419938,2.04744005203247,1.8849981,0.136363636363636,10.112,9.152,0.90506329113924,8.98716533707921,0.00821019103750587,8.97867850400508,19.8265130750369,35.1985858500702,44.2349992750678,44.2350004630862,16669.6953125,5791.908203125,146432,False,7.71749764680862E-05
6,"Treizeci de ani, brunet, fără nici un fier de păr alb, cu pielea bronzată și sănătoasă, cu mâini sigure și fine, un spate puternic și o talie îngustă.",ok,,,0.480532227754593,7.5464438749349,0.193424982657758,0.369466789464875,0.599322557449341,1.8799081,0,9.696,9.984,1.02970297029703,10.6830976409838,0.00536422897130251,10.6774876400596,25.2021107400069,41.7691694700625,52.4715251449961,52.4715275199851,16707.77734375,5787.1220703125,159744,False,7.71749764680862E-05
7,"Și se surprinse că avea poftă să atingă firișoarele acelea de păr blond, ca firișoarele unui mușchi ușor, și plăcut sub palma ei.",ok,,,0.685277855396271,6.65704537951974,0.228410907731967,0.358295216454878,1.12211775779724,1.7227354,0.133913043478261,8.736,8.128,0.93040293040293,8.18512995296624,0.0064197409665212,8.17838370404206,23.1110266080359,36.2784474659711,44.5115277869627,44.5115301619517,16479.8515625,5773.421875,130048,False,7.71749764680862E-05
8,"Faptul că îl întâlnisem pe neașteptate pe fiul soțului meu, sosia lui exactă cu 20 de ani mai puțin, stărnea în mine o exaltare de îndrăgostită.",ok,,,0.580191142559052,6.8776173150524,0.14280413663051,0.332542592147993,0.538332462310791,1.7104954,0.115384615384615,9.408,9.632,1.02380952380952,9.76777467411012,0.00759160704910755,9.75976395001635,22.7869715959532,36.9327231498901,46.7298918529414,46.729894226999,16470.46484375,5780.4609375,154112,False,7.71749764680862E-05
9,"Deprinsă cu interminabilele vacanțe familiale pe malul Mediteranei, Elen se bucurase să descopere oceanul și valurile lui zgomotoase.",ok,,,0.355093359947205,7.04909799825608,0.254301089462982,0.236824819462033,1.08163487911224,1.6724701,0.111111111111111,9.024,8.704,0.964539007092199,9.75995035504457,0.0306490069488063,9.72887985606212,16.3064080059994,29.895178503939,39.6712702269433,39.671272601001,16445.28515625,5773.77734375,139264,False,7.71749764680862E-05
10,"Am mers probabil la nimereală, fără să știu de mine, până ce, la căderea nopții, o stație de taxiuri de pe drum mi-a reamintit că trebuia să mă întorc acasă.",ok,,,0.473978707790375,7.9952094031878,0.200009068990791,0.352945828384033,0.0097349900752306,1.7488518,0,8.832,9.152,1.03623188405797,9.76142142305616,0.00649572804104537,9.75461106002331,24.6593666210538,40.0834040320478,49.8885169710266,49.8885193460155,16439.92578125,5776.15478515625,146432,False,7.71749764680862E-05
11,"Se pricepe oare la artă?"" Lacrimile țâșnirea de sub ploapele oblice și cu mico a început să geamă deznădăjduită.",ok,,,0.591610658168793,7.35862574645504,0.143552387608049,0.398431071224437,0.967473328113556,1.8617741,0.255789473684211,8.768,7.168,0.817518248175183,8.28717497596517,0.00427903502713889,8.28251719090622,21.4584557509515,33.092135658022,41.4306353130378,41.4306376880268,16447.42578125,5775.056640625,114688,False,7.71749764680862E-05
12,Femeile ne plac pentru că se ivesc prinse ca niște nestemate în montiura unei enigme și încetează să ne mai placă de-ndată ce ne intrigă mai puțin.,ok,,,0.591000089645386,7.2297484486645,0.122619326652194,0.349062780127478,1.63598084449768,1.8133242,0.111111111111111,9.216,8.832,0.958333333333334,10.1250836339314,0.00367707293480635,10.1210408709012,22.5290599750588,37.5920472389553,47.7547624009894,47.7547647759784,16483.453125,5775.95068359375,141312,False,7.71749764680862E-05
13,"Poate din cauza timbrului vocii mele care, a idoma celui al mamei, are ceva parcă lăcrimos, văicăreț și dă de sigur impresia că mă lamentez?",ok,,,0.584905571937561,6.939002899472,0.186641883459495,0.26819034687466,0.619320094585419,1.7861338,0.36,9.088,9.376,1.03169014084507,11.8904956480255,0.00383973401039839,11.8862890379969,23.7347755769733,40.2480768460082,52.1775124300038,52.1775148039451,16481.07421875,5776.68408203125,150016,False,7.71749764680862E-05
14,"Imediat, aparatele de monitorizare cardiacă începură să trepideze până un soi de alară, mă chemând personalul în ajutor pentru o inimă care o lua serasnă.",ok,,,0.59126760840416,7.31556229831972,0.135010243371375,0.359588654103762,0.818023979663849,1.7254778,0.04,9.12,9.824,1.07719298245614,11.2008989260066,0.00688516302034259,11.1937050640117,22.229571423959,39.5144858439453,50.7296751339454,50.7296775089344,16480.08984375,5770.4638671875,157184,False,7.71749764680862E-05
15,"Se crampona așadar de optimismul lui Antoan care, neobosit, cu zâmbetul pe buze, îi descria lumea așa cum o simțea el.",ok,,,0.512073504924774,6.7519389727755,0.167081599936035,0.399528048837665,0.585615992546082,1.9392627,0.0952380952380952,8.64,7.808,0.903703703703704,7.96664624905679,0.0127041289815679,7.95354318700265,22.1426941809477,35.7978111009579,43.7845678669401,43.7845702409977,16490.203125,5772.25,124928,False,7.71749764680862E-05
16,"Astfel, fiilui Israel le-au dat leviților, prin tragere la sorți, cetățile acestea cu pășunile din jur, așa cum poruncise Domnul prin Moise.",ok,,,0.623583371734619,5.94921905566691,0.18297596134679,0.231466818289849,1.08375060558319,2.6251154,0.177272727272727,9.76,10.368,1.06229508196721,13.2478914209642,0.00676405802369118,13.240847159992,23.060624463018,39.6469056080096,52.9008035879815,52.9008047749521,16526.90625,5794.37060546875,165888,True,7.71749764680862E-05
17,"Ei au pus deoparte și ceea ce era pentru leviți, iar leviții au pus deoparte ceea ce era pentru urmașii lui Aaron.",ok,,,0.619983959197998,7.63086097975736,0.193233171948529,0.340310062076769,2.00621557235718,3.0648184,0.0909090909090909,9.056,7.616,0.840989399293286,9.11174059798941,0.00765334698371589,9.10374530800618,20.4412349869963,33.7277612059843,42.8790733829374,42.8790757579263,16532.984375,5786.423828125,121856,True,7.71749764680862E-05
18,"Acum vă spun din nou, nu-i voi alunga dinaintea voastră, ci vă vor fi ca niște spini în coaste, iar Dumnezeii lor vă vor fi o capcană.",ok,,,0.554278242588043,6.47422737089142,0.161943643303915,0.211557562898127,1.94145154953003,2.7167091,0.0740740740740741,9.344,8.608,0.921232876712329,11.3554096249864,0.00824106205254793,11.3468824239681,24.5778156139422,39.1087314130273,50.4965531880735,50.4965543750441,16533.8359375,5782.66845703125,137728,False,7.71749764680862E-05
19,"Moartea lui Gedeon Astfel, Midianul a fost supus înaintea fiilor lui Israel și n-a mai îndrăznit să-și ridice capul.",ok,,,0.607019581794739,7.24386623560249,0.270069715731739,0.242799326450153,1.03710055351257,3.1481614,0.105263157894737,9.76,7.648,0.783606557377049,9.88042942504399,0.00660733401309699,9.87356682098471,20.919862439041,34.5161770520499,44.4315072110621,44.4315095860511,16553.81640625,5793.44287109375,122368,False,7.71749764680862E-05
20,"I-a batjocorit pe iudei și a zis înaintea fraților săi și a armatei Samariei, ce fac amărâții aceștia de iudei?",ok,,,0.495151052474976,7.00315177614509,0.139195999073646,0.267141392380342,2.56104588508606,2.5660684,0.3,9.568,6.912,0.722408026755853,7.23874835995957,0.00689703493844718,7.23156637197826,23.1038505570032,33.8409253100399,41.128907509963,41.1289086979814,16581.91796875,5782.33740234375,110592,False,7.71749764680862E-05
21,"Gedeon le-a zis, Ei bine, după ce domnul îi va da pe Zebah și pe țal Muna în mâinile mele, vă voi trăiera carnea cu spinii deșertului și cu mărăcini.",ok,,,0.749295926094055,6.10161920612058,0.155680155537493,0.217102052168694,1.74023973941803,2.164674,0.0333333333333333,9.696,9.312,0.96039603960396,10.8778459959431,0.00708462891634554,10.8704396069516,26.3626970009645,40.690781295998,51.602610241971,51.60261261696,16586.30859375,5787.4873046875,148992,True,7.71749764680862E-05
